INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
Carthage College,2,38750.0,19500.0,56950.0,0.6426,WI
Pennsylvania State University-Penn State Hazleton,1,15208.0,19500.0,63435.0,0.2615,PA
Virginia State University,1,10043.0,17500.0,45543.0,0.3944,VA
Galen College of Nursing-San Antonio,3,17048.0,16500.0,61480.0,0.8088,TX
Millikin University,2,26892.0,19000.0,51262.0,0.5494,IL
The Chicago School at Los Angeles,2,21780.0,10250.0,56899.0,0.0,CA
Northern New Mexico College,1,6400.0,6500.0,38112.0,0.2866,NM
Inter American University of Puerto Rico-Bayamon,2,5780.0,5500.0,29936.0,0.3492,PR
Rose-Hulman Institute of Technology,2,58649.0,21751.0,101253.0,0.7816,IN
Champlain College,2,47850.0,19500.0,58386.0,0.6523,VT
Schreiner University,2,39266.0,13500.0,52228.0,0.4318,TX
Bethune-Cookman University,2,14794.0,22500.0,38518.0,0.3052,FL
Sul Ross State University,1,7592.0,11000.0,41871.0,0.2994,TX
Eastern Washington University,1,8586.0,14053.0,57897.0,0.4349,WA
University of Delaware,1,16810.0,21000.0,72950.0,0.8055,DE
Methodist College,2,18008.0,27000.0,69800.0,0.2,IL
Olympic College,1,4197.0,8000.0,43169.0,0.3103,WA
Oklahoma State University-Main Campus,1,10234.0,15500.0,57413.0,0.6817,OK
University of Puerto Rico-Carolina,1,7986.0,4500.0,30626.0,0.3727,PR
Lees-McRae College,2,33250.0,12000.0,43415.0,0.4208,NC
Reed College,2,69350.0,15750.0,62927.0,0.7147,OR
University of South Carolina-Upstate,1,11588.0,15000.0,48587.0,0.4304,SC
Savannah State University,1,5750.0,16500.0,37981.0,0.2804,GA
University of Missouri-St Louis,1,14112.0,16500.0,53037.0,0.5664,MO
Indiana Institute of Technology-College of Professional Studies,2,9896.0,12564.0,47327.0,0.28,IN
Notre Dame of Maryland University,2,43360.0,17990.0,65344.0,0.5,MD
Bryant & Stratton College-Albany,2,18374.0,9500.0,32568.0,0.2857,NY
University of Nebraska at Omaha,1,8718.0,12750.0,53909.0,0.4708,NE
University of Washington-Bothell Campus,1,12919.0,12375.0,78466.0,0.6532,WA
Rivier University,2,39488.0,21000.0,52248.0,0.5167,NH
Dallas Baptist University,2,40190.0,16000.0,56807.0,0.5701,TX
Regis College,2,49680.0,23750.0,52873.0,0.7217,MA
Catawba College,2,34300.0,13000.0,48793.0,0.4729,NC
College of Central Florida,1,2710.0,8550.0,38203.0,0.4446,FL
Foothill College,1,1565.0,6795.0,57072.0,0.5637,CA
Minneapolis College of Art and Design,2,45484.0,19225.0,40873.0,0.5116,MN
University of Sioux Falls,2,21750.0,16141.0,54521.0,0.6291,SD
California State University-Dominguez Hills,1,7449.0,11902.0,57162.0,0.4279,CA
Dewey University-Carolina,2,7630.0,5000.0,19761.0,0.6207,PR
EDP University of Puerto Rico-Villalba,2,7050.0,10500.0,22844.0,0.25,PR
Fort Valley State University,1,5526.0,19000.0,36666.0,0.4111,GA
Bryn Mawr College,2,65920.0,21441.0,75217.0,0.8179,PA
Clayton  State University,1,5180.0,16750.0,49179.0,0.3986,GA
American Institute of Alternative Medicine,3,22947.0,9500.0,40805.0,0.6,OH
Azusa Pacific University,2,44458.0,19710.0,66677.0,0.6179,CA
